id,title,href,category,keywords
site-sp2s-empty-shell-standard,SP2／SP2S 一代空殼（一般版白芯）,/product/sp2s-empty-shell-standard,空殼,sp2／sp2s 一代空殼（一般版白芯） 空殼
site-sp2s-empty-shell-pro,SP2S 一代空殼（Pro 版盒裝殼）,/product/sp2s-empty-shell-pro,空殼,sp2s 一代空殼（pro 版盒裝殼） 空殼
pinky-relx-pod-pro2-pods,RELX悅刻 POD PRO 2 菸彈,/catalog/relx-pod-pro2-pods,菸彈／通配系列,relx悅刻 pod pro 2 菸彈 菸彈／通配系列
pinky-relx-infinity-pro2-host,RELX悅刻六代 Infinity Pro 2 主機通用4-5-6代,/catalog/relx-infinity-pro2-host,主機系列,relx悅刻六代 infinity pro 2 主機通用4-5-6代 主機系列
pinky-relx-phantom-gen5-host,RELX悅刻幻影五代主機 (4代5代6代通用),/catalog/relx-phantom-gen5-host,主機系列,relx悅刻幻影五代主機 (4代5代6代通用) 主機系列
pinky-relx-ga8000,RELX GA8000口,/catalog/relx-ga8000,拋棄式／大口數系列,relx ga8000口 拋棄式／大口數系列
pinky-ilia-gen4-6500,ILIA 4代6500口-一次性拋棄式,/catalog/ilia-gen4-6500,拋棄式／大口數系列,ilia 4代6500口-一次性拋棄式 拋棄式／大口數系列
pinky-meel-boost-10000,meeL BOOST10000口-一次性拋棄式,/catalog/meel-boost-10000,拋棄式／大口數系列,meel boost10000口-一次性拋棄式 拋棄式／大口數系列
pinky-meel-max-6000,meeL MAX-6000口-一次性拋棄式,/catalog/meel-max-6000,拋棄式／大口數系列,meel max-6000口-一次性拋棄式 拋棄式／大口數系列
pinky-meel-marbo-9000,MEEL-馬博-9000口,/catalog/meel-marbo-9000,拋棄式／大口數系列,meel-馬博-9000口 拋棄式／大口數系列
pinky-max-g-gen1,MAX-G 一代通用系列 買5送1主機,/catalog/max-g-gen1,主機系列,max-g 一代通用系列 買5送1主機 主機系列
pinky-ilia-gen1,ILIA 一代系列,/catalog/ilia-gen1,菸彈／通配系列,ilia 一代系列 菸彈／通配系列
pinky-tutx-gen1,TUTX一代系列,/catalog/tutx-gen1,菸彈／通配系列,tutx一代系列 菸彈／通配系列
pinky-luckin-gen1,Luckin一代通用系列,/catalog/luckin-gen1,主機系列,luckin一代通用系列 主機系列
pinky-sars-gen1,殺小SARS 一代通用系列 買3送一隻主機,/catalog/sars-gen1,主機系列,殺小sars 一代通用系列 買3送一隻主機 主機系列
pinky-ilia-gen5,ILIA5代 5代系列 買4送一隻主機,/catalog/ilia-gen5,菸彈／通配系列,ilia5代 5代系列 買4送一隻主機 菸彈／通配系列
pinky-ice-bear-gen5,冰熊 5代系列,/catalog/ice-bear-gen5,菸彈／通配系列,冰熊 5代系列 菸彈／通配系列
pinky-tisic-cola-bottle,TISIC可樂瓶,/catalog/tisic-cola-bottle,拋棄式／大口數系列,tisic可樂瓶 拋棄式／大口數系列
pinky-tisic-black-cat,TISIC新版 黑騎士/萌貓派對,/catalog/tisic-black-cat,拋棄式／大口數系列,tisic新版 黑騎士/萌貓派對 拋棄式／大口數系列
pinky-kis5-gen1,Kis5一代,/catalog/kis5-gen1,主機系列,kis5一代 主機系列
pinky-kis5-disposable-6500,Kis5拋棄式6500口,/catalog/kis5-disposable-6500,拋棄式／大口數系列,kis5拋棄式6500口 拋棄式／大口數系列
pinky-mehai-gen1,魅嗨一代,/catalog/mehai-gen1,菸彈／通配系列,魅嗨一代 菸彈／通配系列
pinky-mehai-gen5,魅嗨五代,/catalog/mehai-gen5,菸彈／通配系列,魅嗨五代 菸彈／通配系列
pinky-infinity-series,無限,/catalog/infinity-series,菸彈／通配系列,無限 菸彈／通配系列
pinky-universal-sleeve,通用保護套,/catalog/universal-sleeve,配件系列,通用保護套 配件系列
pinky-marbo-9000,MARBO 9000口,/catalog/marbo-9000,拋棄式／大口數系列,marbo 9000口 拋棄式／大口數系列
pinky-obi-disposable-8000,OBI奧比拋棄式8000口,/catalog/obi-disposable-8000,拋棄式／大口數系列,obi奧比拋棄式8000口 拋棄式／大口數系列
pinky-chill-disposable-8800,CHILL拋棄式8800口,/catalog/chill-disposable-8800,拋棄式／大口數系列,chill拋棄式8800口 拋棄式／大口數系列
pinky-relx-smash-go-12k,RELX Smash Go12K,/catalog/relx-smash-go-12k,拋棄式／大口數系列,relx smash go12k 拋棄式／大口數系列
pinky-dot-plus-8000,Dot Plus 8000 Puffs,/catalog/dot-plus-8000,拋棄式／大口數系列,dot plus 8000 puffs 拋棄式／大口數系列
pinky-mistx-6500,MistX 6500口,/catalog/mistx-6500,拋棄式／大口數系列,mistx 6500口 拋棄式／大口數系列
pinky-meha-titan-15000-host,meha泰坦15000口(專用主機),/catalog/meha-titan-15000-host,主機系列,meha泰坦15000口(專用主機) 主機系列
